Art,L1,L2,L3,Hoejde,Bredde,Vaegt
Rutilus,22.1,23.5,26.8,7.4,4.1,200
Rutilus,23.6,25.2,27.9,7.1,3.9,180
Rutilus,24,26,29.2,8.9,4.5,290
Rutilus,25,27,30.6,8.6,4.8,272
Rutilus,29.5,31.7,35,9.5,5.4,390
Flire,13.5,14.7,16.5,6.8,2.3,55
Flire,14.3,15.5,17.4,6.6,2.3,60
Flire,16.3,17.7,19.8,7.4,2.7,90
Flire,17.5,19,21.3,8.4,2.9,120
Flire,18.4,20,22.4,8.9,3.3,150
Flire,19,20.7,23.2,8.5,3.3,140
Flire,19,20.7,23.2,9.4,3.4,170
Flire,19.8,21.5,24.1,9.7,3.2,145
Flire,21.2,23,25.8,10.3,3.7,200
Flire,23,25,28,11.1,4.1,273
Flire,24,26,29,11.4,4.2,300
Aborre,7.5,8.4,8.8,2.1,1.4,5.9
Aborre,12.5,13.7,14.7,3.5,2,32
Aborre,13.8,15,16,3.8,2.4,40
Aborre,15,16.2,17.2,4.6,2.6,51.5
Aborre,15.7,17.4,18.5,4.6,2.9,70
Aborre,16.2,18,19.2,5.2,3.3,100
Aborre,16.8,18.7,19.4,5.2,3.1,78
Aborre,17.2,19,20.2,5.6,3.1,80
Aborre,17.8,19.6,20.8,5.1,3,85
Aborre,18.2,20,21,5.1,2.8,85
Aborre,19,21,22.5,5.7,3.6,110
Aborre,19,21,22.5,5.9,3.3,115
Aborre,19,21,22.5,5.7,3.7,125
Aborre,19.3,21.3,22.8,6.4,3.5,130
Aborre,20,22,23.5,6.1,3.4,120
Aborre,20,22,23.5,5.6,3.5,120
Aborre,20,22,23.5,6.1,3.5,130
Aborre,20,22,23.5,5.9,3.5,135
Aborre,20,22,23.5,5.5,4,110
Aborre,20.5,22.5,24,5.9,3.6,130
Aborre,20.5,22.5,24,6.8,3.6,150
Aborre,20.7,22.7,24.2,6,3.6,145
Aborre,21,23,24.5,5.2,3.6,150
Aborre,21.5,23.5,25,6.3,3.7,170
Aborre,22,24,25.5,7.3,3.7,225
Aborre,22,24,25.5,6.4,3.8,145
Aborre,22.6,24.6,26.2,6.7,4.2,188
Aborre,23,25,26.5,6.4,3.7,180
Aborre,23.5,25.6,27,6.6,4.2,197
Aborre,25,26.5,28,7.2,4.1,218
Aborre,25.2,27.3,28.7,8.3,5.1,300
Aborre,25.4,27.5,28.9,7.2,4.3,260
Aborre,25.4,27.5,28.9,7.1,4.3,265
Aborre,25.4,27.5,28.9,7.3,4.6,250
Aborre,25.9,28,29.4,7.8,4.2,250
Aborre,26.9,28.7,30.1,7.6,4.6,300
Aborre,27.8,30,31.6,7.6,4.8,320
Aborre,30.5,32.8,34,10,6,514
Aborre,32,34.5,36.5,10.3,6.4,556
Aborre,32.5,35,37.3,11.5,7.8,840
Aborre,34,36.5,39,10.9,6.9,685
Aborre,34,36,38.3,10.6,6.7,700
Aborre,34.5,37,39.4,10.8,6.3,700
Aborre,34.6,37,39.3,10.6,6.4,690
Aborre,36.5,39,41.4,11.1,7.5,900
Aborre,36.5,39,41.4,11.1,6,650
Aborre,36.6,39,41.3,12.4,7.4,820
Aborre,36.9,40,42.3,11.9,7.1,850
Aborre,37,40,42.5,11.7,7.2,900
Aborre,37,40,42.4,12.4,7.5,1015
Aborre,37.1,40,42.5,11.1,6.6,820
Aborre,39,42,44.6,12.8,6.9,1100
Aborre,39.8,43,45.2,11.9,7.3,1000
Aborre,40.1,43,45.5,12.5,7.4,1100
Aborre,40.2,43.5,46,12.6,8.1,1000
Aborre,41.1,44,46.6,12.5,7.6,1000
