    Product_Category       Date Order_Demand
88      Category_006 2013-09-01      2819516
89      Category_006 2013-09-08      1519502
90      Category_006 2013-09-15      1114232
91      Category_006 2013-09-22      1409169
92      Category_006 2013-09-29      2502680
93      Category_006 2013-10-06      1887087
94      Category_006 2013-10-13      1234730
95      Category_006 2013-10-20      1702627
96      Category_006 2013-10-27      2594022
97      Category_006 2013-11-03      1290167
98      Category_006 2013-11-10      1686720
99      Category_006 2013-11-17      1952192
100     Category_006 2013-11-24      1411350
101     Category_006 2013-12-01      2320586
102     Category_006 2013-12-08      1179806
103     Category_006 2013-12-15      2216652
104     Category_006 2013-12-22      1058562
105     Category_006 2013-12-29       287600
106     Category_006 2014-01-05      2042312
107     Category_006 2014-01-12      1436523
108     Category_006 2014-01-19      1603942
109     Category_006 2014-01-26      1590625
110     Category_006 2014-02-02      1713154
111     Category_006 2014-02-09      1226771
112     Category_006 2014-02-16      1989813
113     Category_006 2014-02-23      1259072
114     Category_006 2014-03-02      1944088
115     Category_006 2014-03-09      1457191
116     Category_006 2014-03-16       995249
117     Category_006 2014-03-23      1792059
118     Category_006 2014-03-30      2380981
119     Category_006 2014-04-06      1502884
120     Category_006 2014-04-13      1230676
121     Category_006 2014-04-20      1263344
122     Category_006 2014-04-27      1772160
123     Category_006 2014-05-04      1303842
124     Category_006 2014-05-11      1320084
125     Category_006 2014-05-18      1030861
126     Category_006 2014-05-25      1291061
127     Category_006 2014-06-01      2394231
128     Category_006 2014-06-08      1505415
129     Category_006 2014-06-15       717524
130     Category_006 2014-06-22      1577452
131     Category_006 2014-06-29      1450397
132     Category_006 2014-07-06      1526419
133     Category_006 2014-07-13       836218
134     Category_006 2014-07-20      1411605
135     Category_006 2014-07-27       910460
136     Category_006 2014-08-03      1191560
137     Category_006 2014-08-10      1048705
138     Category_006 2014-08-17      1736478
139     Category_006 2014-08-24      1737965
140     Category_006 2014-08-31      2813870
141     Category_006 2014-09-07       928372
142     Category_006 2014-09-14      1614771
143     Category_006 2014-09-21      1337119
144     Category_006 2014-09-28      2467368
145     Category_006 2014-10-05      1291943
146     Category_006 2014-10-12      1506215
147     Category_006 2014-10-19      1005223
148     Category_006 2014-10-26      2439746
149     Category_006 2014-11-02      2270331
150     Category_006 2014-11-09      2180941
151     Category_006 2014-11-16      1861232
152     Category_006 2014-11-23      1158163
153     Category_006 2014-11-30      2733442
154     Category_006 2014-12-07      2193731
155     Category_006 2014-12-14      1639524
156     Category_006 2014-12-21      1089894
157     Category_006 2014-12-28       406000
158     Category_006 2015-01-04      2461259
159     Category_006 2015-01-11      1508438
160     Category_006 2015-01-18      2802442
161     Category_006 2015-01-25      1447350
162     Category_006 2015-02-01      4145260
163     Category_006 2015-02-08      1524911
164     Category_006 2015-02-15      3198272
165     Category_006 2015-02-22      1231234
166     Category_006 2015-03-01      1687348
167     Category_006 2015-03-08      1972495
168     Category_006 2015-03-15      1987933
169     Category_006 2015-03-22      2819138
170     Category_006 2015-03-29      1995027
171     Category_006 2015-04-05      1451722
172     Category_006 2015-04-12      1776793
173     Category_006 2015-04-19      1986332
174     Category_006 2015-04-26       757132
175     Category_006 2015-05-03      1407730
176     Category_006 2015-05-10      1362333
177     Category_006 2015-05-17      1151710
178     Category_006 2015-05-24      1761340
179     Category_006 2015-05-31      2074883
180     Category_006 2015-06-07      1998276
181     Category_006 2015-06-14      1282669
182     Category_006 2015-06-21      1703088
183     Category_006 2015-06-28      2914253
184     Category_006 2015-07-05      1910954
185     Category_006 2015-07-12      1406728
186     Category_006 2015-07-19      1128144
187     Category_006 2015-07-26      2843076
188     Category_006 2015-08-02      2587637
189     Category_006 2015-08-09       330609
190     Category_006 2015-08-16      1149263
191     Category_006 2015-08-23      2705903
192     Category_006 2015-08-30      1658982
193     Category_006 2015-09-06      1654774
194     Category_006 2015-09-13      1006349
195     Category_006 2015-09-20      1129113
196     Category_006 2015-09-27      1558462
197     Category_006 2015-10-04      1528723
198     Category_006 2015-10-11      1724510
199     Category_006 2015-10-18      1227210
200     Category_006 2015-10-25      1537935
201     Category_006 2015-11-01      2734378
202     Category_006 2015-11-08      1686828
203     Category_006 2015-11-15       978346
204     Category_006 2015-11-22      1494229
205     Category_006 2015-11-29      2672075
206     Category_006 2015-12-06      2052043
207     Category_006 2015-12-13      1177765
208     Category_006 2015-12-20      1317446
209     Category_006 2015-12-27       462453
210     Category_006 2016-01-03      2343788
211     Category_006 2016-01-10       857697
212     Category_006 2016-01-17      1112724
213     Category_006 2016-01-24      1079685
214     Category_006 2016-01-31      2963296
215     Category_006 2016-02-07      1595933
216     Category_006 2016-02-14      1164216
217     Category_006 2016-02-21      1304127
218     Category_006 2016-02-28      1529225
219     Category_006 2016-03-06      1028654
220     Category_006 2016-03-13      1149581
221     Category_006 2016-03-20      2711928
222     Category_006 2016-03-27      1102023
223     Category_006 2016-04-03      1737732
224     Category_006 2016-04-10      1893642
225     Category_006 2016-04-17      1215922
226     Category_006 2016-04-24       993844
227     Category_006 2016-05-01      1285515
228     Category_006 2016-05-08      1621907
229     Category_006 2016-05-15      1826965
230     Category_006 2016-05-22      2108556
231     Category_006 2016-05-29      1687945
232     Category_006 2016-06-05       798938
233     Category_006 2016-06-12      1860921
234     Category_006 2016-06-19      1986480
235     Category_006 2016-06-26      2864007
236     Category_006 2016-07-03      1395109
237     Category_006 2016-07-10      1913008
238     Category_006 2016-07-17      1111038
239     Category_006 2016-07-24      1174665
240     Category_006 2016-07-31      2433578
241     Category_006 2016-08-07       756605
242     Category_006 2016-08-14      1294216
243     Category_006 2016-08-21      1160836
244     Category_006 2016-08-28      1551352
245     Category_006 2016-09-04      2208616
246     Category_006 2016-09-11       789725
247     Category_006 2016-09-18      1259473
248     Category_006 2016-09-25      1495920
249     Category_006 2016-10-02      1834473
250     Category_006 2016-10-09      1604188
251     Category_006 2016-10-16      1395921
252     Category_006 2016-10-23      1165121
253     Category_006 2016-10-30      1339812
254     Category_006 2016-11-06      2172476
255     Category_006 2016-11-13      2262829
256     Category_006 2016-11-20       871730
257     Category_006 2016-11-27      3641728
258     Category_006 2016-12-04      2442216
259     Category_006 2016-12-11       947865
260     Category_006 2016-12-18       870803
261     Category_006 2016-12-25       664712
